RecaptureYear,TagNo,RecaptureDate,JoinID,Batch_TagID,BatchNo,JoinID_tag,JoinID_AdultTrap,SeaAge,River,SmoltYear,Color,SalmonComment
1977,74063,6/11/1977,1975_74063,7503_74063,7503,,,2,Penobscot,1975,,
1977,83241,6/12/1977,1975_83241,7504_83241,7504,,,2,Penobscot,1975,,
1977,74785,6/14/1977,1975_74785,7503_74785,7503,,,2,Penobscot,1975,,
1977,76602,6/16/1977,1975_76602,7503_76602,7503,,,2,Penobscot,1975,,
1977,79809,6/17/1977,1975_79809,7504_79809,7504,,,2,Penobscot,1975,,
1977,68561,6/20/1977,1975_68561,7502_68561,7502,,,2,Penobscot,1975,,
1977,24199,6/26/1977,1975_24199,7501_24199,7501,,,2,Penobscot,1975,,
1977,18679,6/27/1977,1975_18679,7501_18679,7501,,,2,Penobscot,1975,,
1977,76203,6/27/1977,1975_76203,7503_76203,7503,,,2,Penobscot,1975,,
1977,72611,6/28/1977,1975_72611,7503_72611,7503,,,2,Penobscot,1975,,
1977,82459,6/28/1977,1975_82459,7504_82459,7504,,,2,Penobscot,1975,,
1977,89918,6/28/1977,1975_89918,7504_89918,7504,,,2,Penobscot,1975,,
1977,73713,6/29/1977,1975_73713,7503_73713,7503,,,2,Penobscot,1975,,
1977,80634,6/30/1977,1975_80634,7504_80634,7504,,,2,Penobscot,1975,,
1977,84124,6/9/1977,1975_84124,7504_84124,7504,,,2,Penobscot,1975,,
1977,85362,7/1/1977,1975_85362,7504_85362,7504,,,2,Penobscot,1975,,
1977,73541,7/11/1977,1975_73541,7503_73541,7503,,,2,Penobscot,1975,,
1977,71218,7/13/1977,1975_71218,7503_71218,7503,,,2,Penobscot,1975,,
1977,89201,7/13/1977,1975_89201,7504_89201,7504,,,2,Penobscot,1975,,
1977,80214,7/14/1977,1975_80214,7504_80214,7504,,,2,Penobscot,1975,,
1977,83182,7/14/1977,1975_83182,7504_83182,7504,,,2,Penobscot,1975,,
1977,22925,7/2/1977,1975_22925,7501_22925,7501,,,2,Penobscot,1975,,
1977,76848,7/2/1977,1975_76848,7503_76848,7503,,,2,Penobscot,1975,,
1977,79319,7/2/1977,1975_79319,7504_79319,7504,,,2,Penobscot,1975,,
1977,82835,7/2/1977,1975_82835,7504_82835,7504,,,2,Penobscot,1975,,
1977,83066,7/2/1977,1975_83066,7504_83066,7504,,,2,Penobscot,1975,,
1977,83406,7/2/1977,1975_83406,7504_83406,7504,,,2,Penobscot,1975,,
1977,82736,7/26/1977,1975_82736,7504_82736,7504,,,2,Penobscot,1975,,
1977,21379,7/3/1977,1975_21379,7501_21379,7501,,,2,Penobscot,1975,,
1977,21385,7/3/1977,1975_21385,7501_21385,7501,,,2,Penobscot,1975,,
1977,23345,7/3/1977,1975_23345,7501_23345,7501,,,2,Penobscot,1975,,
1977,78695,7/3/1977,1975_78695,7504_78695,7504,,,2,Penobscot,1975,,
1977,83902,7/3/1977,1975_83902,7504_83902,7504,,,2,Penobscot,1975,,
1977,86568,7/3/1977,1975_86568,7504_86568,7504,,,2,Penobscot,1975,,
1977,74788,7/4/1977,1975_74788,7503_74788,7503,,,2,Penobscot,1975,,
1977,74907,7/4/1977,1975_74907,7503_74907,7503,,,2,Penobscot,1975,,
1977,80234,7/4/1977,1975_80234,7504_80234,7504,,,2,Penobscot,1975,,
1977,80979,7/4/1977,1975_80979,7504_80979,7504,,,2,Penobscot,1975,,
1977,71118,7/5/1977,1975_71118,7503_71118,7503,,,2,Penobscot,1975,,
1977,80550,7/5/1977,1975_80550,7504_80550,7504,,,2,Penobscot,1975,,
1977,82542,7/5/1977,1975_82542,7504_82542,7504,,,2,Penobscot,1975,,
1977,87618,7/5/1977,1975_87618,7504_87618,7504,,,2,Penobscot,1975,,
1977,85408,7/6/1977,1975_85408,7504_85408,7504,,,2,Penobscot,1975,,
1977,19817,7/7/1977,1975_19817,7501_19817,7501,,,2,Penobscot,1975,,
1977,23318,7/8/1977,1975_23318,7501_23318,7501,,,2,Penobscot,1975,,
1977,77601,7/8/1977,1975_77601,7504_77601,7504,,,2,Penobscot,1975,,
1977,86210,7/8/1977,1975_86210,7504_86210,7504,,,2,Penobscot,1975,,
1977,78182,7/9/1977,1975_78182,7504_78182,7504,,,2,Penobscot,1975,,
1977,85375,7/9/1977,1975_85375,7504_85375,7504,,,2,Penobscot,1975,,
1977,85831,7/9/1977,1975_85831,7504_85831,7504,,,2,Penobscot,1975,,
1977,88799,7/9/1977,1975_88799,7504_88799,7504,,,2,Penobscot,1975,,
1977,77465,9/28/1977,1975_77465,7504_77465,7504,,,2,Penobscot,1975,,
1977,81806,9/28/1977,1975_81806,7504_81806,7504,,,2,Penobscot,1975,,
1977,83754,9/28/1977,1975_83754,7504_83754,7504,,,2,Penobscot,1975,,
1978,9490,10/14/1978,1976_9490,7601_9490,7601,PN-1MAINST47.50-FT-ADL-19781014-0003,1422,2,Penobscot,1976,Green,NoData
1978,1349,10/3/1978,1976_1349,7601_1349,7601,PN-1MAINST47.50-FT-ADL-19781003-0009,1386,2,Penobscot,1976,Green,NoData
1978,13692,10/8/1978,1976_13692,7601_13692,7601,PN-1MAINST47.50-FT-ADL-19781008-0004,1407,2,Penobscot,1976,Green,NoData
1978,4134,6/13/1978,1976_4134,7601_4134,7601,PN-1MAINST47.50-FT-ADL-19780613-0009,103,2,Penobscot,1976,Green,"DD, SPLIT RV"
1978,5710,6/13/1978,1976_5710,7601_5710,7601,PN-1MAINST47.50-FT-ADL-19780613-0028,122,2,Penobscot,1976,Green,"DD, DLV"
1978,7075,6/13/1978,1976_7075,7601_7075,7601,PN-1MAINST47.50-FT-ADL-19780613-0038,132,2,Penobscot,1976,Green,"DD, SRGC"
1978,7242,6/15/1978,1976_7242,7601_7242,7601,PN-1MAINST47.50-FT-ADL-19780615-0034,205,2,Penobscot,1976,Green,DD
1978,2035,6/17/1978,1976_2035,7601_2035,7601,PN-1MAINST47.50-FT-ADL-19780617-0016,248,2,Penobscot,1976,Green,DD
1978,10369,6/17/1978,1976_10369,7601_10369,7601,PN-1MAINST47.50-FT-ADL-19780617-0024,256,2,Penobscot,1976,Green,SDD
1978,14806,6/17/1978,1976_14806,7601_14806,7601,PN-1MAINST47.50-FT-ADL-19780617-0015,247,2,Penobscot,1976,Green,"DD, NO CLIPS"
1978,6816,6/18/1978,1976_6816,7601_6816,7601,PN-1MAINST47.50-FT-ADL-19780618-0032,291,2,Penobscot,1976,Green,DD
1978,14341,6/18/1978,1976_14341,7601_14341,7601,PN-1MAINST47.50-FT-ADL-19780618-0034,293,2,Penobscot,1976,Green,DD
1978,15680,6/18/1978,1976_15680,7602_15680,7602,PN-1MAINST47.50-FT-ADL-19780618-0035,294,2,Penobscot,1976,Green,DD
1978,9243,6/19/1978,1976_9243,7601_9243,7601,PN-1MAINST47.50-FT-ADL-19780619-0001,329,2,Penobscot,1976,Green,DD
1978,1438,6/20/1978,1976_1438,7601_1438,7601,PN-1MAINST47.50-FT-ADL-19780620-0002,376,2,Penobscot,1976,Green,DD
1978,2777,6/22/1978,1976_2777,7601_2777,7601,PN-1MAINST47.50-FT-ADL-19780622-0028,532,2,Penobscot,1976,Green,DD
1978,8291,6/22/1978,1976_8291,7601_8291,7601,PN-1MAINST47.50-FT-ADL-19780622-0017,521,2,Penobscot,1976,Green,ND
1978,14561,6/22/1978,1976_14561,7601_14561,7601,PN-1MAINST47.50-FT-ADL-19780622-0001,505,2,Penobscot,1976,Green,DD
1978,11876,6/24/1978,1976_11876,7601_11876,7601,PN-1MAINST47.50-FT-ADL-19780624-0024,605,2,Penobscot,1976,Green,"ND, VERY DARK"
1978,12842,6/24/1978,1976_12842,7601_12842,7601,PN-1MAINST47.50-FT-ADL-19780624-0015,596,2,Penobscot,1976,Green,DD
1978,17029,6/24/1978,1976_17029,7602_17029,7602,PN-1MAINST47.50-FT-ADL-19780624-0011,592,2,Penobscot,1976,Green,"ND, DRP"
1978,5884,6/25/1978,1976_5884,7601_5884,7601,PN-1MAINST47.50-FT-ADL-19780625-0014,624,2,Penobscot,1976,Green,ND
1978,11611,6/28/1978,1976_11611,7601_11611,7601,PN-1MAINST47.50-FT-ADL-19780628-0001,715,2,Penobscot,1976,Green,DD
1978,16015,6/28/1978,1976_16015,7602_16015,7602,PN-1MAINST47.50-FT-ADL-19780628-0002,716,2,Penobscot,1976,Green,ND
1978,14181,7/12/1978,1976_14181,7601_14181,7601,PN-1MAINST47.50-FT-ADL-19780712-0003,902,2,Penobscot,1976,Green,"deformed left ventral, bwl"
1978,14817,7/15/1978,1976_14817,7601_14817,7601,PN-1MAINST47.50-FT-ADL-19780715-0005,921,2,Penobscot,1976,Green,NoData
1978,9829,7/16/1978,1976_9829,7601_9829,7601,PN-1MAINST47.50-FT-ADL-19780716-0011,937,2,Penobscot,1976,Green,NoData
1978,14301,7/17/1978,1976_14301,7601_14301,7601,PN-1MAINST47.50-FT-ADL-19780717-0073,942,2,Penobscot,1976,Green,bwl
1978,23024,7/2/1978,1976_23024,7602_23024,7602,PN-1MAINST47.50-FT-ADL-19780702-0002,783,2,Penobscot,1976,Green,"ND, DLP"
1978,7956,7/26/1978,1976_7956,7601_7956,7601,PN-1MAINST47.50-FT-ADL-19780626-0001,630,2,Penobscot,1976,Green,"ND, BWL"
1978,12733,7/30/1978,1976_12733,7601_12733,7601,PN-1MAINST47.50-FT-ADL-19780730-0001,1000,2,Penobscot,1976,Green,BWL
1978,5022,7/5/1978,1976_5022,7601_5022,7601,PN-1MAINST47.50-FT-ADL-19780705-0001,806,2,Penobscot,1976,Green,"ND, BRIGHT,PISCAT RELEASE"
1978,19766,7/5/1978,1976_19766,7602_19766,7602,PN-1MAINST47.50-FT-ADL-19780705-0002,807,2,Penobscot,1976,Green,"DD, PISCAT. RELEASE"
1978,5764,7/6/1978,1976_5764,7601_5764,7601,PN-1MAINST47.50-FT-ADL-19780706-0003,828,2,Penobscot,1976,Green,"ND, DRP, SLV(?), DAMAGED NOSE"
1978,9175,7/6/1978,1976_9175,7601_9175,7601,PN-1MAINST47.50-FT-ADL-19780706-0002,827,2,Penobscot,1976,Green,DD
1978,17122,7/6/1978,1976_17122,7602_17122,7602,PN-1MAINST47.50-FT-ADL-19780706-0001,826,2,Penobscot,1976,Green,ND
1978,8392,7/8/1978,1976_8392,7601_8392,7601,PN-1MAINST47.50-FT-ADL-19780707-0001,848,2,Penobscot,1976,Green,DD
1978,11924,7/8/1978,1976_11924,7601_11924,7601,PN-1MAINST47.50-FT-ADL-19780708-0009,875,2,Penobscot,1976,Green,deformed right pec
1978,3774,8/1/1978,1976_3774,7601_3774,7601,PN-1MAINST47.50-FT-ADL-19780801-0001,1009,2,Penobscot,1976,Green,BWL
1978,12488,8/1/1978,1976_12488,7601_12488,7601,PN-1MAINST47.50-FT-ADL-19780801-0002,1010,2,Penobscot,1976,Green,BWL
1978,13620,8/10/1978,1976_13620,7601_13620,7601,PN-1MAINST47.50-FT-ADL-19780810-0005,1105,2,Penobscot,1976,Green,NoData
1978,12304,8/14/1978,1976_12304,7601_12304,7601,PN-1MAINST47.50-FT-ADL-19780814-0001,1107,2,Penobscot,1976,Green,NoData
1978,22882,8/3/1978,1976_22882,7602_22882,7602,PN-1MAINST47.50-FT-ADL-19780803-0001,1026,2,Penobscot,1976,Green,DARK
1978,5923,8/4/1978,1976_5923,7601_5923,7601,PN-1MAINST47.50-FT-ADL-19780804-0014,1050,2,Penobscot,1976,Green,DAMAGED LOWER CAUDAL
1978,9891,8/6/1978,1976_9891,7601_9891,7601,PN-1MAINST47.50-FT-ADL-19780806-0013,1074,2,Penobscot,1976,Green,"RED CAUDAL, SPLIT AL"
1978,11879,8/6/1978,1976_11879,7601_11879,7601,PN-1MAINST47.50-FT-ADL-19780806-0012,1073,2,Penobscot,1976,Green,NoData
1978,5889,9/1/1978,1976_5889,7601_5889,7601,PN-1MAINST47.50-FT-ADL-19780901-0005,1149,2,Penobscot,1976,Green,DARK
1978,19288,9/10/1978,1976_19288,7602_19288,7602,PN-1MAINST47.50-FT-ADL-19780910-0007,1233,2,Penobscot,1976,Green,BRIGHT
