"","JoinID","year","FMC_c","M1_c","M2_c","total_c","marine.incr","marine.circ"
"1","1966_661002",1966,32,62,NA,76,2.732166,45
"2","1966_661009",1966,38,73,94,97,3.35085466666667,60
"3","1966_662001",1966,42,71,NA,93,3.150126,52
"4","1966_662002",1966,42,75,NA,92,3.07904066666667,51
"5","1966_663008",1966,43,74,NA,86,2.57480666666667,44
"6","1966_663016",1966,44,71,NA,90,2.60535333333333,47
"7","1966_663017",1966,27,60,NA,72,2.51043,46
"8","1966_663019",1966,49,83,NA,100,3.099138,52
"9","1966_663020",1966,31,68,NA,81,3.14572666666667,51
"10","1966_663022",1966,27,59,NA,76,2.25098866666667,50
"11","1966_663047",1966,43,73,NA,98,3.30598333333333,56
"12","1966_663051",1966,43,73,100,102,3.08590866666667,60
"13","1966_663055",1966,46,76,102,105,3.62305266666667,60
"14","1966_663058",1966,36,62,94,94,3.450768,59
"15","1966_663059",1966,44,75,98,101,2.951194,58
"16","1966_663061",1966,37,66,83,87,2.39797733333333,51
"17","1966_663062",1966,25,50,77,84,3.27460466666667,60
"18","1966_663064",1966,28,57,82,86,3.20956266666667,59
"19","1966_663065",1966,27,55,80,82,3.08252933333333,56
"20","1966_663066",1966,30,61,84,85,3.06644866666667,56
"21","1966_663070",1966,35,60,NA,77,2.261564,43
"22","1966_664002",1966,32,65,NA,77,2.66352133333333,46
"23","1966_664023",1966,46,80,106,109,4.04472,64
"24","1966_664026",1966,46,77,100,104,3.40607066666667,59
"25","1967_1516",1967,32,62,NA,70,1.84937066666667,39
"26","1967_260",1967,51,85,112,115,3.58219933333333,65
"27","1967_4618",1967,43,69,NA,79,2.10720466666667,37
"28","1967_629",1967,43,76,97,104,3.460908,62
"29","1967_7965",1967,50,84,NA,99,2.92593666666667,50
"30","1968_4961",1968,51,74,NA,86,1.99163733333333,36
"31","1968_7881",1968,39,68,NA,82,2.649306,44
"32","1969_1739",1969,38,72,NA,84,2.98984133333333,47
"33","1969_1928",1969,28,58,NA,71,2.49821133333333,44
"34","1969_2449",1969,43,78,NA,88,2.247454,46
"35","1969_2554",1969,41,70,NA,81,2.14828466666667,41
"36","1969_26",1969,39,61,NA,75,1.76869333333333,37
"37","1969_3140",1969,51,78,NA,91,2.50560933333333,41
"38","1969_4206",1969,52,78,NA,92,2.12362,41
"39","1969_4232",1969,57,84,108,114,3.28471666666667,58
"40","1969_4324",1969,48,72,96,104,2.989644,57
"41","1969_4343",1969,38,80,NA,94,3.33442133333333,57
"42","1969_4392",1969,38,64,NA,73,1.45732933333333,36
"43","1969_4690",1969,61,82,NA,95,2.09582,35
"44","1969_4758",1969,53,78,NA,90,2.142096,38
"45","1969_4978",1969,37,76,NA,92,3.11270133333333,56
"46","1969_5297",1969,39,59,NA,70,1.72811066666667,32
"47","1969_5433",1969,55,80,NA,95,2.23767333333333,41
"48","1969_6063",1969,51,73,104,116,3.526552,66
