,year,llbox,long,lat,mintemp,coldestmonth
1,1966,46_44,-46,44,9.161084175,2
2,1966,46_46,-46,46,5.675156116,3
3,1966,46_48,-46,48,4.278259277,3
4,1966,46_50,-46,50,5.091790199,3
5,1966,46_52,-46,52,5.760426044,3
6,1966,46_54,-46,54,5.059905529,1
7,1966,48_44,-48,44,5.839131355,2
8,1966,48_46,-48,46,2.669583082,3
9,1966,48_48,-48,48,1.960811019,3
10,1966,48_50,-48,50,3.078174114,3
11,1966,48_52,-48,52,4.115911484,3
12,1966,48_54,-48,54,4.030835629,1
13,1966,50_44,-50,44,3.56102705,2
14,1966,50_46,-50,46,0.772802174,2
15,1966,50_48,-50,48,0.468367875,3
16,1966,50_50,-50,50,1.218610883,3
17,1966,50_52,-50,52,2.159663439,3
18,1966,50_54,-50,54,2.694372892,1
19,1966,52_44,-52,44,3.027122736,2
20,1966,54_44,-54,44,3.496912241,2
21,1966,56_44,-56,44,3.636886358,3
22,1966,58_44,-58,44,2.956848145,3
23,1967,46_44,-46,44,9.545420647,3
24,1967,46_46,-46,46,5.627019882,3
25,1967,46_48,-46,48,3.956119061,3
26,1967,46_50,-46,50,4.480571747,3
27,1967,46_52,-46,52,4.963668346,3
28,1967,46_54,-46,54,4.229455471,3
29,1967,48_44,-48,44,6.155343533,3
30,1967,48_46,-48,46,2.608718395,3
31,1967,48_48,-48,48,1.776113987,3
32,1967,48_50,-48,50,2.698097229,3
33,1967,48_52,-48,52,3.567115068,3
34,1967,48_54,-48,54,3.490662336,3
35,1967,50_44,-50,44,3.863938332,3
36,1967,50_46,-50,46,0.825438976,3
37,1967,50_48,-50,48,0.422997266,3
38,1967,50_50,-50,50,1.089358211,3
39,1967,50_52,-50,52,1.883759856,3
40,1967,50_54,-50,54,2.371314287,4
41,1967,52_44,-52,44,3.243917704,3
42,1967,54_44,-54,44,3.491125584,3
43,1967,56_44,-56,44,3.486200809,3
44,1967,58_44,-58,44,2.900774002,3
45,1968,46_44,-46,44,9.788823128,4
46,1968,46_46,-46,46,5.684900284,4
47,1968,46_48,-46,48,3.728950024,4
48,1968,46_50,-46,50,4.099923611,4
49,1968,46_52,-46,52,4.573036671,4
50,1968,46_54,-46,54,3.837445498,3
51,1968,48_44,-48,44,6.481122494,3
52,1968,48_46,-48,46,2.584299326,3
53,1968,48_48,-48,48,1.389597178,3
54,1968,48_50,-48,50,2.133800268,3
55,1968,48_52,-48,52,2.983891964,3
56,1968,48_54,-48,54,2.97761941,3
57,1968,50_44,-50,44,4.233417988,3
58,1968,50_46,-50,46,0.812191248,3
59,1968,50_48,-50,48,0.308962971,2
60,1968,50_50,-50,50,0.434197783,3
61,1968,50_52,-50,52,1.194420934,3
62,1968,50_54,-50,54,1.818980455,3
63,1968,52_44,-52,44,3.818502903,3
64,1968,54_44,-54,44,4.368918419,3
65,1968,56_44,-56,44,4.419229507,2
66,1968,58_44,-58,44,3.776618481,2
67,1969,46_44,-46,44,9.583839417,4
68,1969,46_46,-46,46,5.643061638,4
69,1969,46_48,-46,48,4.076948643,4
70,1969,46_50,-46,50,4.84086895,4
71,1969,46_52,-46,52,5.451982021,1
72,1969,46_54,-46,54,4.618432522,4
73,1969,48_44,-48,44,6.460088253,4
74,1969,48_46,-48,46,2.742702007,4
75,1969,48_48,-48,48,1.830917478,4
76,1969,48_50,-48,50,2.849871874,4
77,1969,48_52,-48,52,3.706578016,4
78,1969,48_54,-48,54,3.550785303,4
79,1969,50_44,-50,44,4.529995441,2
80,1969,50_46,-50,46,1.283313751,4
81,1969,50_48,-50,48,0.651825666,4
82,1969,50_50,-50,50,1.229416966,4
83,1969,50_52,-50,52,1.832788467,4
84,1969,50_54,-50,54,2.203052998,4
85,1969,52_44,-52,44,4.190858841,2
86,1969,54_44,-54,44,4.692498207,2
87,1969,56_44,-56,44,4.86340189,2
88,1969,58_44,-58,44,4.364776134,2
89,1970,46_44,-46,44,9.850640297,4
90,1970,46_46,-46,46,6.002571583,2
91,1970,46_48,-46,48,4.231238842,2
92,1970,46_50,-46,50,4.589030266,2
93,1970,46_52,-46,52,5.026754856,2
94,1970,46_54,-46,54,4.276303768,2
95,1970,48_44,-48,44,6.703976154,4
96,1970,48_46,-48,46,3.027451515,3
97,1970,48_48,-48,48,1.867467642,3
98,1970,48_50,-48,50,2.566184044,3
99,1970,48_52,-48,52,3.313879728,2
100,1970,48_54,-48,54,3.243423939,2
101,1970,50_44,-50,44,4.657507896,3
102,1970,50_46,-50,46,1.379194498,3
103,1970,50_48,-50,48,0.579708755,3
104,1970,50_50,-50,50,0.937963545,3
105,1970,50_52,-50,52,1.483626962,3
106,1970,50_54,-50,54,1.913858891,3
107,1970,52_44,-52,44,4.179642677,3
108,1970,54_44,-54,44,4.479728222,3
109,1970,56_44,-56,44,4.426314354,3
110,1970,58_44,-58,44,3.740022898,3
111,1971,46_44,-46,44,8.621520996,3
112,1971,46_46,-46,46,4.590177059,3
113,1971,46_48,-46,48,2.926189899,3
114,1971,46_50,-46,50,3.579240799,3
115,1971,46_52,-46,52,4.326440811,3
116,1971,46_54,-46,54,3.840264797,3
117,1971,48_44,-48,44,5.288789272,3
118,1971,48_46,-48,46,1.608142614,3
119,1971,48_48,-48,48,0.688173056,3
120,1971,48_50,-48,50,1.614161849,3
121,1971,48_52,-48,52,2.573116064,3
122,1971,48_54,-48,54,2.749254704,3
123,1971,50_44,-50,44,3.221746445,3
124,1971,50_46,-50,46,0.066573679,3
125,1971,50_48,-50,48,0.561882019,4
126,1971,50_50,-50,50,0.033984065,3
127,1971,50_52,-50,52,0.752000332,3
128,1971,50_54,-50,54,1.418058395,3
129,1971,52_44,-52,44,2.904733658,3
130,1971,54_44,-54,44,3.485227585,3
131,1971,56_44,-56,44,3.7547822,3
132,1971,58_44,-58,44,3.331176281,3
133,1972,46_44,-46,44,8.619907379,2
134,1972,46_46,-46,46,4.653357506,2
135,1972,46_48,-46,48,2.861047029,3
136,1972,46_50,-46,50,3.222750187,3
137,1972,46_52,-46,52,3.826582432,3
138,1972,46_54,-46,54,3.298645258,3
139,1972,48_44,-48,44,5.17871666,2
140,1972,48_46,-48,46,1.584668398,2
141,1972,48_48,-48,48,0.474499404,3
142,1972,48_50,-48,50,1.251265764,3
143,1972,48_52,-48,52,2.192452908,3
144,1972,48_54,-48,54,2.319563866,3
