"","JoinID","Batch_TagID","RecaptureMonthNum","marine.circ","FMC","SeaAge","M1","M2","DaysatSea","ReleaseDate","RecaptureDate","annulustype","numannuli"
"1","1967_1902","6702_1902",7,7,1.09531,0,NA,NA,98,1967-04-12,1967-07-19,"noannuli",0
"2","1967_2599","6706_2599",7,8,1.3118,0,NA,NA,104,1967-04-11,1967-07-24,"noannuli",0
"3","1967_3046","6705_3046",7,9,1.3663,0,NA,NA,95,1967-04-11,1967-07-15,"noannuli",0
"4","1967_3603","6701_3603",7,8,1.00262,0,NA,NA,103,1967-04-12,1967-07-24,"noannuli",0
"5","1968_5074","6811_5074",7,9,1.04416,0,NA,NA,111,1968-04-09,1968-07-29,"noannuli",0
"6","1969_5075","6907_5075",7,6,1.63326,0,NA,NA,57,1969-06-04,1969-07-31,"noannuli",0
"7","1967_5557","6701_5557",7,7,1.11797,0,NA,NA,99,1967-04-12,1967-07-20,"noannuli",0
"8","1968_9204","6805_9204",7,7,0.98038,0,NA,NA,85,1968-04-09,1968-07-03,"noannuli",0
"9","1972_10365","7201_10365",7,9,1.63177,0,NA,NA,58,1972-05-12,1972-07-09,"noannuli",0
"10","1972_10813","7201_10813",7,7,1.29517,0,NA,NA,54,1972-05-12,1972-07-05,"noannuli",0
"11","1972_10838","7201_10838",7,11,1.37682,0,NA,NA,59,1972-05-12,1972-07-10,"noannuli",0
"12","1974_12361","7401_12361",7,8,1.16961,0,NA,NA,85,1974-05-07,1974-07-31,"noannuli",0
"13","1974_15151","7401_15151",8,13,2.0039,0,NA,NA,105,1974-05-07,1974-08-20,"noannuli",0
"14","1972_21733","7202_21733",8,11,1.27555,0,NA,NA,109,1972-05-11,1972-08-28,"noannuli",0
"15","1972_37848","7203_37848",8,12,1.5388,0,NA,NA,108,1972-05-12,1972-08-28,"noannuli",0
"16","1972_39916","7203_39916",7,8,1.50546,0,NA,NA,56,1972-05-12,1972-07-07,"noannuli",0
"17","1972_41901","7203_41901",8,13,1.91078,0,NA,NA,98,1972-05-12,1972-08-18,"noannuli",0
"18","1972_47053","7204_47053",7,7,0.9357,0,NA,NA,52,1972-05-17,1972-07-08,"noannuli",0
"19","1972_47800","7204_47800",7,7,1.23164,0,NA,NA,52,1972-05-17,1972-07-08,"noannuli",0
"20","1972_51800","7204_51800",7,10,1.43164,0,NA,NA,71,1972-05-17,1972-07-27,"noannuli",0
"21","1972_53046","7204_53046",7,8,1.24643,0,NA,NA,69,1972-05-17,1972-07-25,"noannuli",0
"22","1972_55343","7204_55343",7,9,1.46996,0,NA,NA,51,1972-05-17,1972-07-07,"noannuli",0
"23","1972_56230","7204_56230",8,7,1.17172,0,NA,NA,97,1972-05-17,1972-08-22,"noannuli",0
"24","1972_58621","7204_58621",8,12,1.874,0,NA,NA,103,1972-05-17,1972-08-28,"noannuli",0
"25","1972_59473","7204_59473",8,11,0.93828,0,NA,NA,78,1972-05-17,1972-08-03,"noannuli",0
"26","1972_60401","7204_60401",8,8,1.61677,0,NA,NA,76,1972-05-17,1972-08-01,"noannuli",0
"27","1972_61572","7204_61572",8,10,1.69903,0,NA,NA,80,1972-05-17,1972-08-05,"noannuli",0
"28","1973_79322","7303_79322",7,7,1.5088,0,NA,NA,59,1973-05-09,1973-07-07,"noannuli",0
"29","1971_92852","7101_92852",7,4,0.90058,0,NA,NA,64,1971-05-14,1971-07-17,"noannuli",0
"30","1974_94815","7404_94815",7,15,1.54642,0,NA,NA,64,1974-05-06,1974-07-09,"noannuli",0
"31","1974_96452","7404_96452",8,10,1.05983,0,NA,NA,107,1974-05-06,1974-08-21,"noannuli",0
"32","1971_97633","7101_97633",7,6,1.48532,0,NA,NA,59,1971-05-14,1971-07-12,"noannuli",0
"33","1979_142388","7901_142388",8,14,1.2863,0,NA,NA,103,1979-05-07,1979-08-18,"noannuli",0
"34","1980_224497","8001_224497",7,10,0.76249,0,NA,NA,85,1980-05-07,1980-07-31,"noannuli",0
"35","1981_293158","8101_293158",7,9,1.32799,0,NA,NA,61,1981-05-08,1981-07-08,"noannuli",0
"36","1966_662012","6602_662012",10,23,1.10304,0,NA,NA,180,1966-04-15,1966-10-12,"noannuli",0
"37","1989_706142","8901_706142",8,9,1.77889,0,NA,NA,140,1989-04-12,1989-08-30,"noannuli",0
"38","1984_9","8401_9",8,42,1.20127,1,2.70707,NA,469,1984-05-09,1985-08-21,"firstannulus",1
"39","1969_26","6909_26",9,37,1.0994,1,2.0608,NA,496,1969-05-20,1970-09-28,"firstannulus",1
"40","1974_65","7401_65",10,44,1.46479,1,2.95882,NA,513,1974-05-07,1975-10-02,"firstannulus",1
"41","1974_330","7401_330",7,42,1.39681,1,2.82574,NA,427,1974-05-07,1975-07-08,"firstannulus",1
"42","1974_346","7401_346",6,40,1.87256,1,3.64388,NA,409,1974-05-07,1975-06-20,"firstannulus",1
"43","1972_365","7201_365",9,48,1.60958,1,3.5205,NA,500,1972-05-12,1973-09-24,"firstannulus",1
"44","1969_671","6909_671",9,47,1.42888,1,3.19886,NA,489,1969-05-20,1970-09-21,"firstannulus",1
"45","1969_856","6909_856",10,46,1.11699,1,2.40807,NA,499,1969-05-20,1970-10-01,"firstannulus",1
"46","1974_1355","7401_1355",6,35,1.13635,1,2.56377,NA,402,1974-05-07,1975-06-13,"firstannulus",1
"47","1967_1516","6702_1516",7,39,0.87482,1,2.16531,NA,463,1967-04-12,1968-07-18,"firstannulus",1
"48","1969_1739","6909_1739",9,47,0.93294,1,3.12544,NA,487,1969-05-20,1970-09-19,"firstannulus",1
"49","1984_1800","8401_1800",8,44,1.45504,1,2.96074,NA,457,1984-05-09,1985-08-09,"firstannulus",1
"50","1969_1928","6915_1928",9,44,0.87224,1,2.51625,NA,470,1969-05-28,1970-09-10,"firstannulus",1
"51","1972_2048","7201_2048",8,48,1.40224,1,2.79607,NA,465,1972-05-12,1973-08-20,"firstannulus",1
"52","1972_2164","7201_2164",8,37,1.90662,1,3.06448,NA,454,1972-05-12,1973-08-09,"firstannulus",1
"53","1972_2368","7201_2368",9,49,1.0276,1,2.98124,NA,493,1972-05-12,1973-09-17,"firstannulus",1
"54","1972_2445","7201_2445",7,45,1.14842,1,2.26093,NA,438,1972-05-12,1973-07-24,"firstannulus",1
"55","1969_2449","6901_2449",9,46,1.31908,1,2.90958,NA,515,1969-04-21,1970-09-18,"firstannulus",1
"56","1969_2554","6901_2554",8,41,1.37156,1,2.7888,NA,489,1969-04-21,1970-08-23,"firstannulus",1
"57","1972_2754","7201_2754",8,46,1.3057,1,2.93782,NA,453,1972-05-12,1973-08-08,"firstannulus",1
"58","1974_3008","7401_3008",8,47,1.36603,1,2.96416,NA,471,1974-05-07,1975-08-21,"firstannulus",1
"59","1969_3140","6909_3140",8,41,1.45077,1,3.0264,NA,448,1969-05-20,1970-08-11,"firstannulus",1
"60","1972_3193","7201_3193",8,44,1.33437,1,2.76786,NA,450,1972-05-12,1973-08-05,"firstannulus",1
