JoinID,Batch_TagID,RecaptureMonthNum,marine.circ,FMC,Radius,SeaAge,M1.incr,M2.incr,M1.circ,M2.circ,DaysatSea,ReleaseDate,RecaptureDate,annulustype,numannuli,Type
1975_71118,7503_71118,7,59,1.1831,4.257,2,3.2819,NA,41,NaN,792,1975-05-05,1977-07-05,firstannulus,1,river
1975_73713,7503_73713,6,57,1.2286,4.4669,2,3.0582,NA,34,NaN,786,1975-05-05,1977-06-29,firstannulus,1,river
1975_83241,7504_83241,6,60,1.2951,4.3329,2,2.8216,NA,31,NaN,768,1975-05-06,1977-06-12,firstannulus,1,river
1975_84124,7504_84124,6,62,1.2038,4.2749,2,2.8758,NA,34,NaN,765,1975-05-06,1977-06-09,firstannulus,1,river
1976_3774,7601_3774,8,57,1.4923,4.3592,2,3.0945,NA,32,NaN,820,1976-05-03,1978-08-01,firstannulus,1,river
1976_6816,7601_6816,6,44,1.2191,3.3349,2,2.095,NA,21,NaN,776,1976-05-03,1978-06-18,firstannulus,1,river
1976_13620,7601_13620,8,56,1.2079,3.8967,2,2.4499,NA,27,NaN,829,1976-05-03,1978-08-10,firstannulus,1,river
1977_120947,7705_120947,6,50,1.3427,3.9466,2,2.7025,NA,26,NaN,768,1977-05-05,1979-06-12,firstannulus,1,river
1996_939999,9601_939999,6,56,1.5357,4.2621,2,2.7851,NA,26,NaN,767,1996-05-07,1998-06-13,firstannulus,1,river
1996_942129,9601_942129,6,52,1.3405,3.9723,2,2.8195,NA,30,NaN,774,1996-05-07,1998-06-20,firstannulus,1,river
1984_2785,8401_2785,7,55,1.7237,4.5016,2,3.0624,NA,28,NaN,796,1984-05-09,1986-07-14,firstannulus,1,river
1984_13425,8401_13425,6,59,1.3143,4.0283,2,2.4504,NA,25,NaN,764,1984-05-09,1986-06-12,firstannulus,1,river
1984_24799,8401_24799,6,59,1.1793,4.6282,2,2.8346,NA,29,NaN,763,1984-05-09,1986-06-11,firstannulus,1,river
1984_31843,8402_31843,5,55,1.2931,4.1522,2,2.6847,NA,29,NaN,745,1984-05-07,1986-05-22,firstannulus,1,river
1984_76751,8404_76751,5,50,1.3461,3.7405,2,2.4703,NA,24,NaN,745,1984-05-09,1986-05-24,firstannulus,1,river
1975_18679,7501_18679,6,59,1.6006,4.925,2,3.3169,4.743,32,56,784,1975-05-05,1977-06-27,secondannulus,2,river
1975_19817,7501_19817,7,56,1.2419,4.3173,2,2.8498,4.1126,30,53,794,1975-05-05,1977-07-07,secondannulus,2,river
1975_21385,7501_21385,7,63,1.2649,4.536,2,2.6589,4.4112,28,61,790,1975-05-05,1977-07-03,secondannulus,2,river
1975_23318,7501_23318,7,70,1.4487,4.9661,2,3.1154,4.7955,33,66,795,1975-05-05,1977-07-08,secondannulus,2,river
1975_23345,7501_23345,7,54,1.1811,3.7575,2,2.6181,3.5926,32,51,790,1975-05-05,1977-07-03,secondannulus,2,river
1975_24199,7501_24199,6,50,1.2741,3.6934,2,2.3169,3.5038,23,46,783,1975-05-05,1977-06-26,secondannulus,2,river
1975_71218,7503_71218,7,53,1.3842,4.257,2,3.07,4.0352,33,49,800,1975-05-05,1977-07-13,secondannulus,2,river
1975_72611,7503_72611,6,62,0.9595,4.0598,2,2.613,3.7905,32,56,785,1975-05-05,1977-06-28,secondannulus,2,river
1975_73541,7503_73541,7,66,1.3635,4.7771,2,2.8845,4.487,32,60,798,1975-05-05,1977-07-11,secondannulus,2,river
1975_74785,7503_74785,6,67,1.5283,5.3453,2,3.4301,5.1386,33,63,771,1975-05-05,1977-06-14,secondannulus,2,river
1975_74788,7503_74788,7,65,1.2704,4.2208,2,2.7873,4.145,35,64,791,1975-05-05,1977-07-04,secondannulus,2,river
1975_74907,7503_74907,7,54,1.043,3.9576,2,2.5657,3.8931,27,53,791,1975-05-05,1977-07-04,secondannulus,2,river
1975_76203,7503_76203,6,67,1.1811,4.8721,2,2.7944,4.6769,31,63,784,1975-05-05,1977-06-27,secondannulus,2,river
1975_76602,7503_76602,6,63,1.4162,4.2809,2,2.7206,4.0686,31,59,773,1975-05-05,1977-06-16,secondannulus,2,river
1975_76848,7503_76848,7,57,1.3727,4.7929,2,2.8003,4.7133,24,56,789,1975-05-05,1977-07-02,secondannulus,2,river
1975_77465,7504_77465,9,60,1.3766,4.8049,2,2.7153,4.5622,25,56,876,1975-05-06,1977-09-28,secondannulus,2,river
1975_77601,7504_77601,7,67,1.6572,5.4114,2,3.5002,5.127,33,61,794,1975-05-06,1977-07-08,secondannulus,2,river
1975_78695,7504_78695,7,61,1.3292,4.7424,2,2.9334,4.566,30,58,789,1975-05-06,1977-07-03,secondannulus,2,river
1975_79319,7504_79319,7,54,1.4449,4.57,2,2.6111,4.2969,21,49,788,1975-05-06,1977-07-02,secondannulus,2,river
1975_79809,7504_79809,6,60,1.4676,4.5773,2,2.939,4.346,29,55,773,1975-05-06,1977-06-17,secondannulus,2,river
1975_80214,7504_80214,7,61,1.4638,4.4255,2,2.7759,4.1942,28,56,800,1975-05-06,1977-07-14,secondannulus,2,river
1975_80550,7504_80550,7,65,1.0618,4.3137,2,2.6375,4.1127,32,61,791,1975-05-06,1977-07-05,secondannulus,2,river
1975_80634,7504_80634,6,64,1.7311,5.4738,2,3.6328,5.379,33,63,786,1975-05-06,1977-06-30,secondannulus,2,river
1975_80979,7504_80979,7,59,1.4486,4.435,2,2.8176,4.1354,28,53,790,1975-05-06,1977-07-04,secondannulus,2,river
1975_82459,7504_82459,6,59,1.3709,4.68,2,2.9598,4.5392,29,56,784,1975-05-06,1977-06-28,secondannulus,2,river
1975_82542,7504_82542,7,56,1.2588,4.3073,2,2.8039,4.0949,29,52,791,1975-05-06,1977-07-05,secondannulus,2,river
1975_82835,7504_82835,7,62,1.1927,4.3537,2,2.8215,4.1128,33,57,788,1975-05-06,1977-07-02,secondannulus,2,river
1975_83066,7504_83066,7,53,1.3332,4.4642,2,2.8105,4.1608,28,48,788,1975-05-06,1977-07-02,secondannulus,2,river
1975_85362,7504_85362,7,70,1.1662,5.0459,2,2.7628,4.7406,31,64,787,1975-05-06,1977-07-01,secondannulus,2,river
1975_85831,7504_85831,7,63,1.5417,5.1809,2,3.3243,4.9287,32,58,795,1975-05-06,1977-07-09,secondannulus,2,river
1975_86568,7504_86568,7,54,0.9898,3.76,2,2.5029,3.6291,30,51,789,1975-05-06,1977-07-03,secondannulus,2,river
1975_87618,7504_87618,7,60,1.1339,4.382,2,2.6129,4.2739,30,58,791,1975-05-06,1977-07-05,secondannulus,2,river
1975_88799,7504_88799,7,56,1.2948,4.3489,2,2.91,3.8238,30,46,795,1975-05-06,1977-07-09,secondannulus,2,river
1975_89201,7504_89201,7,55,1.4204,3.9292,2,2.7516,3.7093,30,50,799,1975-05-06,1977-07-13,secondannulus,2,river
1975_89918,7504_89918,6,61,1.2743,4.3918,2,2.8691,4.1661,32,56,784,1975-05-06,1977-06-28,secondannulus,2,river
1976_1438,7601_1438,6,55,1.1644,3.7283,2,2.5033,3.6013,27,52,778,1976-05-03,1978-06-20,secondannulus,2,river
1976_4134,7601_4134,6,57,1.5152,4.2288,2,2.8407,3.9026,28,50,771,1976-05-03,1978-06-13,secondannulus,2,river
1976_5022,7601_5022,7,56,1.1358,3.7127,2,2.3171,3.3581,27,48,793,1976-05-03,1978-07-05,secondannulus,2,river
1976_5923,7601_5923,8,55,1.3005,3.9224,2,2.5082,3.7689,25,50,823,1976-05-03,1978-08-04,secondannulus,2,river
1976_5977,7601_5977,9,58,1.5963,4.2808,2,2.9063,3.9831,26,50,852,1976-05-03,1978-09-02,secondannulus,2,river
1976_7075,7601_7075,6,56,1.7746,4.7701,2,3.3349,4.5445,30,52,771,1976-05-03,1978-06-13,secondannulus,2,river
1976_7956,7601_7956,7,63,1.7141,4.5376,2,3.2008,4.1337,32,54,814,1976-05-03,1978-07-26,secondannulus,2,river
1976_8291,7601_8291,6,56,1.4679,4.6691,2,3.2183,4.3448,31,50,780,1976-05-03,1978-06-22,secondannulus,2,river
1976_8654,7601_8654,9,62,1.4411,4.7065,2,2.9543,4.3519,29,56,877,1976-05-03,1978-09-27,secondannulus,2,river
1976_9243,7601_9243,6,56,1.4413,4.3752,2,2.6835,4.0187,25,50,777,1976-05-03,1978-06-19,secondannulus,2,river
1976_9490,7601_9490,10,61,1.5073,4.5542,2,2.9767,4.0499,30,51,894,1976-05-03,1978-10-14,secondannulus,2,river
1976_9829,7601_9829,7,56,1.5285,4.1228,2,2.5716,3.8042,24,49,804,1976-05-03,1978-07-16,secondannulus,2,river
1976_11876,7601_11876,6,54,1.6343,4.2205,2,2.6013,3.9873,22,50,782,1976-05-03,1978-06-24,secondannulus,2,river
1976_11879,7601_11879,8,50,1.3157,3.6704,2,2.5499,3.3576,27,45,825,1976-05-03,1978-08-06,secondannulus,2,river
1976_12733,7601_12733,7,46,1.1928,3.4799,2,2.3003,3.2504,24,43,818,1976-05-03,1978-07-30,secondannulus,2,river
1976_12842,7601_12842,6,58,1.5152,4.5135,2,2.9508,4.3163,28,54,782,1976-05-03,1978-06-24,secondannulus,2,river
1976_13692,7601_13692,10,53,1.2704,4.0938,2,2.6148,3.6463,26,46,888,1976-05-03,1978-10-08,secondannulus,2,river
1976_14181,7601_14181,7,56,1.1758,3.8177,2,2.2777,3.482,25,49,800,1976-05-03,1978-07-12,secondannulus,2,river
1976_14301,7601_14301,7,49,1.2646,3.7557,2,2.5329,3.5453,26,45,805,1976-05-03,1978-07-17,secondannulus,2,river
1976_14341,7601_14341,6,54,1.6214,4.4432,2,3.1404,4.265,32,51,776,1976-05-03,1978-06-18,secondannulus,2,river
1976_14561,7601_14561,6,60,1.2289,4.3769,2,2.5886,4.0033,30,52,780,1976-05-03,1978-06-22,secondannulus,2,river
1976_14817,7601_14817,7,51,1.1982,3.7483,2,2.4495,3.3899,24,43,803,1976-05-03,1978-07-15,secondannulus,2,river
1976_15680,7602_15680,6,66,0.9859,4.2944,2,2.4477,3.8602,29,58,775,1976-05-04,1978-06-18,secondannulus,2,river
1976_16015,7602_16015,6,60,1.06,3.8606,2,2.4101,3.4549,30,52,785,1976-05-04,1978-06-28,secondannulus,2,river
1976_16805,7602_16805,9,57,0.9615,3.8726,2,2.2777,3.5673,27,52,866,1976-05-04,1978-09-17,secondannulus,2,river
1976_17029,7602_17029,6,55,1.0867,3.7721,2,2.3421,3.5122,26,51,781,1976-05-04,1978-06-24,secondannulus,2,river
1976_22882,7602_22882,8,57,1.2646,4.281,2,2.3851,3.9113,23,50,821,1976-05-04,1978-08-03,secondannulus,2,river
1976_24026,7602_24026,9,58,1.1508,3.9984,2,2.5215,3.4448,29,47,851,1976-05-04,1978-09-02,secondannulus,2,river
1977_116117,7703_116117,7,55,0.9576,3.7205,2,2.3135,3.4721,28,50,792,1977-05-06,1979-07-07,secondannulus,2,river
1977_121182,7705_121182,6,57,1.2499,3.8425,2,2.7159,3.7344,32,55,781,1977-05-05,1979-06-25,secondannulus,2,river
1977_121697,7705_121697,7,60,1.5304,4.4281,2,3.002,4.2461,31,56,787,1977-05-05,1979-07-01,secondannulus,2,river
1977_122470,7705_122470,6,49,1.094,3.7274,2,2.4401,3.5037,25,45,781,1977-05-05,1979-06-25,secondannulus,2,river
1977_122689,7705_122689,6,56,1.3026,3.9818,2,2.6071,3.7296,27,50,775,1977-05-05,1979-06-19,secondannulus,2,river
1977_124822,7705_124822,7,54,1.1718,3.6348,2,2.5237,3.413,29,49,798,1977-05-05,1979-07-12,secondannulus,2,river
1977_125187,7705_125187,6,58,1.4221,4.8105,2,3.1514,4.6076,29,54,780,1977-05-05,1979-06-24,secondannulus,2,river
1977_125839,7705_125839,6,61,1.2911,4.6185,2,2.952,4.1673,31,53,783,1977-05-05,1979-06-27,secondannulus,2,river
1977_126028,7705_126028,6,66,1.6057,5.35,2,3.4257,4.6826,29,53,772,1977-05-05,1979-06-16,secondannulus,2,river
1977_126116,7705_126116,7,57,1.7405,4.8651,2,2.9672,4.3987,25,48,798,1977-05-05,1979-07-12,secondannulus,2,river
1977_126183,7705_126183,7,52,1.7008,4.3799,2,2.8896,3.9419,21,43,806,1977-05-05,1979-07-20,secondannulus,2,river
